episodio,tipo,numero,data_br,views_br
Bernardo Srur,reels,1,"9 out","4800"
Bernardo Srur,reels,2,"10 out","3900"
Gladstone,reels,1,"17 out","6200"
Gladstone,reels,2,"18 out","3900"
JP Nox,reels,1,"22 out","13,4k"
JP Nox,reels,2,"23 out","20,2k"
Debate 10x1,reels,1,"24 out","152k"
Debate 10x1,reels,2,"24 out","77k"
Debate 10x1,reels,3,"24 out","82k"
Debate 10x1,reels,4,"25 out","21,5k"
Debate 10x1,reels,5,"27 out","24,2k"
Debate 10x1,reels,6,"31 out","14,1k"
Debate 10x1,reels,7,"12 nov","10,9k"
Debate 10x1,reels,8,"13 nov","19,1k"
Debate 10x1,reels,9,"18 nov","31k"
Debate 10x1,reels,10,"19 nov","9k"
Felipether,reels,1,"2 nov","16.4k"
Felipether,reels,2,"3 nov","9.5k"
Felipether,reels,3,"4 nov","6.2k"
Gui Oranje,reels,1,"2 nov","8.1k"
Gui Oranje,reels,2,"3 nov","5.9k"
Gui Oranje,reels,3,"4 nov","11.2k"
Catalão e Zé,reels,1,"20 nov","9.2k"
Catalão e Zé,reels,2,"22 nov","8k"
Canhada e Dantas,reels,1,"27 nov","5.1k"



